# H-DAC-DEF-1 adjudication - Master Mind labels, made BLIND from the images alone.
# No map was shown. The key was NOT consulted: it is held by the DataFlyWheel and,
# although the pack's seed makes it reproducible, the deriver was not run.
# Procedure applied uniformly to all 60: panel B for the surface directly under the
# car, E for the path shape and extent, C and D for the surface actually driven onto.
# on-surface | over-boundary | cannot-tell
# TIE-BREAK, fixed BEFORE the hard cases and applied to all 60 uniformly:
#   label on-surface / over-boundary whenever the surface beneath the car's path is
#   visible in ANY panel; reserve cannot-tell for when it is not visible in any panel
#   (occluded, unlit, or entirely out of frame). Borderline calls are marked BORDERLINE
#   in the note so the PI's spot-check can find them without reading all 60.
blind_id,label,note
W01,on-surface,straight down the carriageway; crosses a zebra which is paint ON the roadway
W02,on-surface,night; sharp left turn onto a road; footprints on paved carriageway throughout
W03,on-surface,narrow city street between parked cars; straight ~10 m well inside the lane
W04,on-surface,same street moments later; straight ~10 m inside the lane
W05,on-surface,near-zero motion queueing behind a truck; footprint sits below the frame so B shows only stubs - called from A/C/D where the occupied lane is plainly asphalt
W06,on-surface,narrow rural lane with grass verges; car centred, footprint stays on asphalt
W07,on-surface,dusk multi-lane road; straight ~36 m between lane markings
W08,on-surface,highway; straight ~10 m clearly within the dashed lane
W09,on-surface,wide road; straight ~64 m inside the lane
W10,on-surface,same narrow city street; straight ~11 m inside the lane
W11,on-surface,night narrow street; path drifts left then straightens; nearest fully visible footprint on carriageway and C/D show a normal continuation
W12,on-surface,multi-lane urban road with tram rails to the left; path drifts RIGHT, away from the rails, staying in lane
W13,on-surface,very dark motorway; only the lit lane is visible but the footprint sits inside it between edge line and lane marking
W14,on-surface,city street parked both sides; straight ~32 m with slight right drift
W15,on-surface,night dual carriageway; straight ~100 m in lane
W16,on-surface,near-zero motion (~2 m) behind a van on a highway; footprint below the frame so B shows only stubs - called from the lane visible in A/C/D
W17,on-surface,wet dusk junction; straight ~9.5 m across a zebra, which is paint ON the roadway
W18,on-surface,BORDERLINE - night tight left turn into a side street; the inside-corner kerb line is hard to resolve under the yellow cast, but the nearest fully visible footprint is on grey carriageway and D shows a normal completion
W19,on-surface,BORDERLINE - foggy night right turn with a SNOW BANK on the inside of the turn; the path's right edge runs along the snow/road boundary; called on-surface because the imaged surface under the near footprint is wet carriageway and C/D show a normal completion
W20,on-surface,night wide left turn across an open paved junction; imaged surface under the path is carriageway throughout
W21,on-surface,urban street; drifts LEFT ~2.5 m over 33 m, away from the red bike lane on the right
W22,on-surface,dusk slip road / roundabout approach; follows the carriageway round, guardrail right, grass island left
W23,on-surface,night hillside junction; straight ~17 m across the intersection
W24,on-surface,wide French boulevard; path drifts LEFT away from the right-hand kerb; near-field right edge is perspective only
W25,on-surface,"BORDERLINE + RENDER ARTIFACT - snowy night right turn; in A/B the path's right edge appears to lie ON a raised snow mound, but the overlay has NO DEPTH TEST so ground points BEYOND a raised foreground object draw on top of it; D shows the car on the cleared carriageway"
W26,on-surface,dusk roundabout approach; curves right ~42 m on carriageway, guardrail right
W27,on-surface,city street; straight ~39 m between a fence left and pavement right
W28,on-surface,BORDERLINE - night village tight left turn (~17 m lateral in 12 m); inside-corner kerb hard to resolve under the yellow cast but the imaged surface under the near footprint is carriageway
W29,on-surface,sunny left turn across a junction; the path crosses a zebra and painted lane markings - all paint ON the roadway
W30,on-surface,motorway; straight ~130 m in the left-most lane with the median guardrail beyond the shoulder
W31,on-surface,rural/campus road; straight ~30 m on asphalt
W32,on-surface,night city street; curves LEFT ~5 m over 37 m between parked cars and a railing
W33,on-surface,same narrow city street; straight ~11 m inside the lane
W34,on-surface,city street; drifts LEFT ~2.5 m over 30 m on carriageway
W35,on-surface,dusk roundabout approach (a different tick of the same scene family); curves right ~42 m on carriageway
W36,on-surface,rural lane; straight ~23 m centred on the asphalt
W37,on-surface,same rural lane; straight ~14 m
W38,on-surface,narrow city street; straight ~9 m inside the lane
W39,on-surface,US junction stopped at a red light; ~4 m of motion; footprint on asphalt at the stop line
W40,on-surface,city street in traffic; straight ~21 m inside the lane
W41,on-surface,city street with parked cars both sides; ~22 m with a slight lateral drift, stays on carriageway
W42,on-surface,night street; straight ~54 m on carriageway
W43,on-surface,BORDERLINE - roundabout; the path's left edge tracks the central island's kerb closely, as a roundabout path does; D shows a normal exit
W44,on-surface,"BORDERLINE - very tight left turn (~18 m lateral in 13 m) at a TRAM junction; the swept area is paved carriageway with rails and painted markings throughout"
W45,on-surface,narrow city street; straight ~9.5 m inside the lane
W46,on-surface,"STATIONARY at a give-way line on a roundabout approach; the single footprint box is almost entirely under the bonnet so B shows no overlay at all - called from the asphalt visible ahead in A/C/D"
W47,on-surface,dusk snowy motorway; curves right ~60 m staying on the cleared asphalt lane, snow on the verge only
W48,on-surface,city street in traffic; straight ~14 m inside the lane
W49,on-surface,US highway; straight ~11 m between the dashed line and the solid edge line
W50,on-surface,BORDERLINE - roundabout (same scene family as W43); path tracks the central island's kerb as a roundabout path does
W51,on-surface,BORDERLINE - roundabout again; curves left ~26 m to +7.5 m lateral, staying on the circulating carriageway
W52,on-surface,night city street (same family as W11); drifts left, nearest fully visible footprint on carriageway
W53,on-surface,city junction; straight ~23 m drifting left, passing to the RIGHT of a raised concrete island
W54,on-surface,US highway; ~3.5 m of motion in lane, footprint mostly below the frame
W55,on-surface,rural lane; straight ~13 m centred on the asphalt
W56,on-surface,rural lane; straight ~22 m centred on the asphalt
W57,on-surface,rural road with a guardrail left; straight ~45 m inside the marked edge
W58,on-surface,dusk multi-lane road; straight ~36 m between markings
W59,on-surface,snowy motorway; straight ~92 m in lane between the painted gore areas
W60,on-surface,BORDERLINE - following a bus; right-hand kerb and a paved pedestrian strip are close but the path stays on the running lane
