=== P4: WHAT SHARE OF THE 8.56x DOES THE GATE CLOSE? (T0, 400w/70ep) ===
  the 8.56x is a FAN property: bank 0.4808 g -> emitted fan 4.1131 g (D1 = 3.6323 g)
  fan_peak_g_mean on THIS bank            : 4.1789 g
  => share of D1 closed by ANY selection rule: 0.00 pct  (STRUCTURAL ZERO --
    the gate changes no waypoint; the fan tensor is one object for every rule)

  the SELECTED path is already far better conditioned than the fan's average:
    model sel_peak_g 0.1718 g = fan mean / 24.3  = bank mean / 0.36
    best SELECTABLE peak_g on this fan     : 0.0899 g
    D2 (the gap a selection rule CAN close): 0.0819 g

  rule             sel_peak_g   d_peak_g    sel_env      ade_m  pct_of_D2
  model                0.1718          -     0.1075     0.4486          -
  gate2                0.1306    -0.0412     0.0750     0.4600      50.3%
  gate4                0.1154    -0.0564     0.0650     0.4537      68.9%
  gate8                0.1083    -0.0635     0.0675     0.4895      77.6%
  gate128              0.1061    -0.0657     0.0675     0.5020      80.3%
  ceil_min_peakg       0.0899    -0.0819     0.0750     0.4662     100.0%
  ceil_min_env         0.0920    -0.0798     0.0600     0.4809      97.5%
  oracle_ade           0.1851    +0.0133     0.1300     0.2063     -16.2%

[share] wrote C:/Users/Admin/kingate/raw/gate_share_of_gap.json
