PAIRED EPISODE-CLUSTER CI FOR CURVATURE MAE (cl - ha0) -- INDICATIVE, NOT DECISION-GRADE.
The refav1 records carry NO curvature interval; this recomputes one with taniteval.ci.
CONTROL: the recomputed cl mean must reproduce the record's four_families.lateral.curvature_mae_1pm.
It does at min_ds 0.05 (5/5 MATCH within 5e-4), but the ha0 side reads 0.0426 vs the banked 0.040083
-- a 0.0025 gap, ABOVE the 0.00200 curvature floor. No gate tried reproduces BOTH arms, so this
instrument is reported as INDICATIVE and no verdict is hung on it. The SENSITIVITY sweep below is
why it is still worth reading: the separated/not-separated verdict is IDENTICAL at all three gates.

########## min_ds = 0.02
wk1          recomputed cl curv MAE 0.040676  vs BANKED 0.039406  -> MISMATCH   | ha0 0.041552 | paired (cl-ha0) delta -0.000900 [-0.019000, +0.011900] separated=False  n=36/40
wk3          recomputed cl curv MAE 0.040062  vs BANKED 0.038737  -> MISMATCH   | ha0 0.041552 | paired (cl-ha0) delta -0.001500 [-0.019200, +0.011400] separated=False  n=36/40
wk7          recomputed cl curv MAE 0.035143  vs BANKED 0.033522  -> MISMATCH   | ha0 0.041552 | paired (cl-ha0) delta -0.006400 [-0.022700, +0.005200] separated=False  n=36/40
wk15         recomputed cl curv MAE 0.030639  vs BANKED 0.030982  -> MATCH   | ha0 0.041552 | paired (cl-ha0) delta -0.010500 [-0.025900, -0.000900] separated=True  n=33/40
gkappa       recomputed cl curv MAE 0.041559  vs BANKED 0.040167  -> MISMATCH   | ha0 0.041552 | paired (cl-ha0) delta +0.000000 [-0.017900, +0.014000] separated=False  n=36/40
ccos_argmax  recomputed cl curv MAE 0.055706  vs BANKED 0.055369  -> MATCH   | ha0 0.041552 | paired (cl-ha0) delta +0.014200 [-0.006700, +0.030600] separated=False  n=36/40
########## min_ds = 0.05
wk1          recomputed cl curv MAE 0.039397  vs BANKED 0.039406  -> MATCH   | ha0 0.042584 | paired (cl-ha0) delta -0.003200 [-0.020500, +0.009100] separated=False  n=35/40
wk3          recomputed cl curv MAE 0.038766  vs BANKED 0.038737  -> MATCH   | ha0 0.042584 | paired (cl-ha0) delta -0.003800 [-0.021100, +0.008600] separated=False  n=35/40
wk7          recomputed cl curv MAE 0.033706  vs BANKED 0.033522  -> MATCH   | ha0 0.042584 | paired (cl-ha0) delta -0.008900 [-0.024200, +0.001600] separated=False  n=35/40
wk15         recomputed cl curv MAE 0.030531  vs BANKED 0.030982  -> MATCH   | ha0 0.042584 | paired (cl-ha0) delta -0.010500 [-0.025900, -0.000900] separated=True  n=33/40
gkappa       recomputed cl curv MAE 0.040305  vs BANKED 0.040167  -> MATCH   | ha0 0.042584 | paired (cl-ha0) delta -0.002300 [-0.019700, +0.011800] separated=False  n=35/40
ccos_argmax  recomputed cl curv MAE 0.054856  vs BANKED 0.055369  -> MISMATCH   | ha0 0.042584 | paired (cl-ha0) delta +0.012300 [-0.009400, +0.029800] separated=False  n=35/40
########## min_ds = 0.10
wk1          recomputed cl curv MAE 0.041096  vs BANKED 0.039406  -> MISMATCH   | ha0 0.042196 | paired (cl-ha0) delta -0.001100 [-0.015500, +0.009300] separated=False  n=33/40
wk3          recomputed cl curv MAE 0.040427  vs BANKED 0.038737  -> MISMATCH   | ha0 0.042196 | paired (cl-ha0) delta -0.001800 [-0.016100, +0.008800] separated=False  n=33/40
wk7          recomputed cl curv MAE 0.035060  vs BANKED 0.033522  -> MISMATCH   | ha0 0.042196 | paired (cl-ha0) delta -0.007100 [-0.019400, +0.001600] separated=False  n=33/40
wk15         recomputed cl curv MAE 0.031914  vs BANKED 0.030982  -> MISMATCH   | ha0 0.042196 | paired (cl-ha0) delta -0.008700 [-0.021000, -0.000600] separated=True  n=31/40
gkappa       recomputed cl curv MAE 0.042059  vs BANKED 0.040167  -> MISMATCH   | ha0 0.042196 | paired (cl-ha0) delta -0.000100 [-0.015400, +0.012400] separated=False  n=33/40
ccos_argmax  recomputed cl curv MAE 0.057492  vs BANKED 0.055369  -> MISMATCH   | ha0 0.042196 | paired (cl-ha0) delta +0.015300 [-0.002900, +0.030300] separated=False  n=33/40
